header,new_header,Qnum,curr.aban,ben.bur,factor,keyword
Q3.3_15 - [QID11-ChoiceTextEntryValue] tells me exactly what I need to know.,curr.ben.use.7,Q3.3_15 ,current,benefit,use,exact
Q3.3_16 - I feel like I've learned something after using [QID11-ChoiceTextEntryValue]...,curr.ben.enjoy.4,Q3.3_16 ,current,benefit,enjoy,learn
Q3.3_17 - I use [QID11-ChoiceTextEntryValue] to get information regularly about thing...,curr.ben.enjoy.5,Q3.3_17 ,current,benefit,enjoy,regular
Q3.3_18 - [QID11-ChoiceTextEntryValue] lets me display my personality/express myself.,curr.ben.social.4,Q3.3_18 ,current,benefit,social,personality
Q3.3_19 - Using [QID11-ChoiceTextEntryValue] is a way to pursue my interests and/or h...,curr.ben.enjoy.6,Q3.3_19 ,current,benefit,enjoy,interests
Q3.3_20 - I find myself using [QID11-ChoiceTextEntryValue] for lots of different reas...,curr.ben.enjoy.7,Q3.3_20 ,current,benefit,enjoy,general
"Q3.3_21 - If you're still alive, click 'Very often'.",check.1,Q3.3_21 ,,,,
"Q4.1 - An app you have abandoned:
 
Please indicate an app that you previously us...",abandoned,Q4.1 ,,,,
"Q4.2 - Please try your best to think of an app on your own. If you need some help,...",examples,Q4.2 ,,,,
Q4.4_1 - I used [QID15-ChoiceTextEntryValue] to accomplish a task that would otherwi...,aban.ben.use.2,Q4.4_1 ,abandoned,benefit,use,task
Q4.4_2 - [QID15-ChoiceTextEntryValue] helped me with logistics and planning.,aban.ben.use.3,Q4.4_2 ,abandoned,benefit,use,logistics
Q4.4_3 - [QID15-ChoiceTextEntryValue]  helped me get through the day more efficientl...,aban.ben.use.4,Q4.4_3 ,abandoned,benefit,use,efficient
Q4.4_4 - [QID15-ChoiceTextEntryValue] gave me timely information.,aban.ben.use.5,Q4.4_4 ,abandoned,benefit,use,timely
Q4.4_5 - [QID15-ChoiceTextEntryValue]  gave me relevant information.,aban.ben.use.6,Q4.4_5 ,abandoned,benefit,use,relevant
Q4.4_6 - [QID15-ChoiceTextEntryValue]  told me exactly what I needed to know.,aban.ben.use.7,Q4.4_6 ,abandoned,benefit,use,exact
Q4.4_7 - I felt like I learned something after using [QID15-ChoiceTextEntryValue].,aban.ben.enjoy.4,Q4.4_7 ,abandoned,benefit,enjoy,learn
Q4.4_8 - I used [QID15-ChoiceTextEntryValue] to get information regularly about thin...,aban.ben.enjoy.5,Q4.4_8 ,abandoned,benefit,enjoy,regular
Q4.4_9 - I used [QID15-ChoiceTextEntryValue] because it helped me feel connected to...,aban.ben.social.1,Q4.4_9 ,abandoned,benefit,social,connect
Q4.4_10 - I used [QID15-ChoiceTextEntryValue] to see what my friends and family were...,aban.ben.social.2,Q4.4_10 ,abandoned,benefit,social,friends
Q4.4_11 - I used [QID15-ChoiceTextEntryValue] to make/coordinate plans more effective...,aban.ben.use.1,Q4.4_11 ,abandoned,benefit,use,plans
Q4.4_12 - [QID15-ChoiceTextEntryValue] allowed me to communicate with other people.,aban.ben.social.3,Q4.4_12 ,abandoned,benefit,social,comm
Q4.4_13 - I enjoyed using [QID15-ChoiceTextEntryValue].,aban.ben.enjoy.1,Q4.4_13 ,abandoned,benefit,enjoy,use
Q4.4_14 - I was excited to use [QID15-ChoiceTextEntryValue] when I had free time.,aban.ben.enjoy.2,Q4.4_14 ,abandoned,benefit,enjoy,excited
"Q4.4_15 - If I had nothing better to do, I would use [QID15-ChoiceTextEntryValue].",aban.ben.enjoy.3,Q4.4_15 ,abandoned,benefit,enjoy,bored
Q4.4_16 - I liked [QID15-ChoiceTextEntryValue] because it had an appealing interface.,aban.ben.usable.1,Q4.4_16 ,abandoned,benefit,usable,interface
Q4.4_17 - The design of [QID15-ChoiceTextEntryValue] was intuitive.,aban.ben.usable.2,Q4.4_17 ,abandoned,benefit,usable,intuitive
Q4.4_18 - [QID15-ChoiceTextEntryValue] let me display my personality/express myself.,aban.ben.social.4,Q4.4_18 ,abandoned,benefit,social,personality
Q4.4_19 - Using [QID15-ChoiceTextEntryValue] was a way to pursue my interests and/or...,aban.ben.enjoy.6,Q4.4_19 ,abandoned,benefit,enjoy,interests
Q4.4_20 - I found myself using [QID15-ChoiceTextEntryValue] for lots of different rea...,aban.ben.enjoy.7,Q4.4_20 ,abandoned,benefit,enjoy,general
Q4.4_21 - Select 'A little bit of the time' for this statement.,check.2,Q4.4_21 ,,,,
Q6.1_1 - [QID11-ChoiceTextEntryValue] is hard to learn.,curr.bur.difficulty.1,Q6.1_1 ,current,burden,difficulty,learn
Q6.1_2 - Using [QID11-ChoiceTextEntryValue] too much creates physical discomfort.,curr.bur.physical.1,Q6.1_2 ,current,burden,physical,discomfort
Q6.1_3 - I spend too much time using [QID11-ChoiceTextEntryValue].,curr.bur.time.1,Q6.1_3 ,current,burden,time,time
Q6.1_4 - I am worried about what information gets shared by [QID11-ChoiceTextEntryVa...,curr.bur.privacy.1,Q6.1_4 ,current,burden,privacy,shared
Q6.1_5 - [QID11-ChoiceTextEntryValue]'s policies about privacy are not trustworthy.,curr.bur.privacy.2,Q6.1_5 ,current,burden,privacy,privacy
Q6.1_6 - [QID11-ChoiceTextEntryValue] is too expensive,curr.bur.financial.1,Q6.1_6 ,current,burden,financial,expensive
Q6.1_7 - The upfront cost to using [QID11-ChoiceTextEntryValue] is too high.,curr.bur.financial.2,Q6.1_7 ,current,burden,financial,cost
Q7.1_1 - I need assistance from another person to use [QID11-ChoiceTextEntryValue].,curr.bur.difficulty.2,Q7.1_1 ,current,burden,difficulty,assistance
Q7.1_2 - [QID11-ChoiceTextEntryValue] demands too much mental effort.,curr.bur.difficulty.3,Q7.1_2 ,current,burden,difficulty,mental
Q7.1_3 - It takes too long for me to do what I want to do with [QID11-ChoiceTextEntr...,curr.bur.difficulty.4,Q7.1_3 ,current,burden,difficulty,long
Q7.1_4 - [QID11-ChoiceTextEntryValue] has made me feel physical pain.,curr.bur.physical.2,Q7.1_4 ,current,burden,physical,pain
Q7.1_5 - Use of [QID11-ChoiceTextEntryValue] is too physically demanding.,curr.bur.physical.3,Q7.1_5 ,current,burden,physical,demanding
Q7.1_6 - I use [QID11-ChoiceTextEntryValue] more often than I should.,curr.bur.time.2,Q7.1_6 ,current,burden,time,often
Q7.1_7 - [QID11-ChoiceTextEntryValue] distracts me from social situations.,curr.bur.time.3,Q7.1_7 ,current,burden,time,distracts
Q7.1_8 - Using [QID11-ChoiceTextEntryValue] has a negative effect on my social life.,curr.bur.time.4,Q7.1_8 ,current,burden,time,social
Q7.1_9 - [QID11-ChoiceTextEntryValue] requires me to remember too much information.,curr.bur.mental.1,Q7.1_9 ,current,burden,mental,remember
Q7.1_10 - [QID11-ChoiceTextEntryValue] presents too much information at once.,curr.bur.mental.2,Q7.1_10 ,current,burden,mental,presents
Q7.1_11 - Using [QID11-ChoiceTextEntryValue] makes me feel like a bad person.,curr.bur.mental.3,Q7.1_11 ,current,burden,mental,bad
Q7.1_12 - I feel guilty when I use [QID11-ChoiceTextEntryValue].,curr.bur.mental.4,Q7.1_12 ,current,burden,mental,guilty
Q7.1_13 - [QID11-ChoiceTextEntryValue] requires me to do a lot to maintain my privacy...,curr.bur.privacy.3,Q7.1_13 ,current,burden,privacy,maintain
Q9.1_1 - I needed assistance from another person to use  [QID15-ChoiceTextEntryValue...,aban.bur.difficulty.2,Q9.1_1 ,abandoned,burden,difficulty,assistance
Q9.1_2 - [QID15-ChoiceTextEntryValue] demanded too much mental effort.,aban.bur.difficulty.3,Q9.1_2 ,abandoned,burden,difficulty,mental
Q9.1_3 - It took too long for me to do what I wanted to do with  [QID15-ChoiceTextEn...,aban.bur.difficulty.4,Q9.1_3 ,abandoned,burden,difficulty,long
Q9.1_4 - [QID15-ChoiceTextEntryValue] made me feel physical pain.,aban.bur.physical.2,Q9.1_4 ,abandoned,burden,physical,pain
Q9.1_5 - Use of  [QID15-ChoiceTextEntryValue] was too physically demanding.,aban.bur.physical.3,Q9.1_5 ,abandoned,burden,physical,demanding
Q9.1_6 - I used  [QID15-ChoiceTextEntryValue] more often than I should have.,aban.bur.time.2,Q9.1_6 ,abandoned,burden,time,often
Q9.1_7 - [QID15-ChoiceTextEntryValue] distracted me from social situations.,aban.bur.time.3,Q9.1_7 ,abandoned,burden,time,distracts
Q9.1_8 - Using  [QID15-ChoiceTextEntryValue] had a negative effect on my social life...,aban.bur.time.4,Q9.1_8 ,abandoned,burden,time,social
Q9.1_9 - [QID15-ChoiceTextEntryValue] required me to remember too much information.,aban.bur.mental.1,Q9.1_9 ,abandoned,burden,mental,remember
Q9.1_10 - [QID15-ChoiceTextEntryValue] presented too much information at once.,aban.bur.mental.2,Q9.1_10 ,abandoned,burden,mental,presents
Q9.1_11 - Using  [QID15-ChoiceTextEntryValue] made me feel like a bad person.,aban.bur.mental.3,Q9.1_11 ,abandoned,burden,mental,bad
Q9.1_12 - I felt guilty when I used  [QID15-ChoiceTextEntryValue].,aban.bur.mental.4,Q9.1_12 ,abandoned,burden,mental,guilty
Q9.1_13 - [QID15-ChoiceTextEntryValue] required me to do a lot to maintain my privacy...,aban.bur.privacy.3,Q9.1_13 ,abandoned,burden,privacy,maintain
Q10.1_1 - [QID15-ChoiceTextEntryValue]  was hard to learn.,aban.bur.difficulty.1,Q10.1_1 ,abandoned,burden,difficulty,learn
Q10.1_2 - Using [QID15-ChoiceTextEntryValue] too much created physical discomfort.,aban.bur.physical.1,Q10.1_2 ,abandoned,burden,physical,discomfort
Q10.1_3 - I spent too much time using [QID15-ChoiceTextEntryValue] .,aban.bur.time.1,Q10.1_3 ,abandoned,burden,time,time
Q10.1_4 - I was worried about what information got shared by [QID15-ChoiceTextEntryVa...,aban.bur.privacy.1,Q10.1_4 ,abandoned,burden,privacy,shared
Q10.1_5 - [QID15-ChoiceTextEntryValue]'s policies about privacy were not trustworthy.,aban.bur.privacy.2,Q10.1_5 ,abandoned,burden,privacy,privacy
Q10.1_6 - [QID15-ChoiceTextEntryValue]  was too expensive.,aban.bur.financial.1,Q10.1_6 ,abandoned,burden,financial,expensive
Q10.1_7 - The upfront cost to using [QID15-ChoiceTextEntryValue]  was too high.,aban.bur.financial.2,Q10.1_7 ,abandoned,burden,financial,cost
"Q11.1 - Thank you for completing this survey! If you have any comments, questions o...",comments,Q11.1 ,,,,
mTurkCode,mTurkCode,mTurkCode,,,,
